Feature
1,ENSMUSG00000058063
2,ENSMUSG00000087216
3,ENSMUSG00000085244
4,ENSMUSG00000021604
5,ENSMUSG00000085957
6,ENSMUSG00000049565
7,ENSMUSG00000029320
8,ENSMUSG00000089755
9,ENSMUSG00000042371
10,ENSMUSG00000064010
11,ENSMUSG00000033860
12,ENSMUSG00000028415
13,ENSMUSG00000031461
14,ENSMUSG00000106120
15,ENSMUSG00000085464
16,ENSMUSG00000108025
17,ENSMUSG00000042596
18,ENSMUSG00000003555
19,ENSMUSG00000100335
20,ENSMUSG00000113017
21,ENSMUSG00000018595
22,ENSMUSG00000074156
23,ENSMUSG00000033770
24,ENSMUSG00000097584
25,ENSMUSG00000027530
26,ENSMUSG00000027202
27,ENSMUSG00000111657
28,ENSMUSG00000078719
29,ENSMUSG00000047343
30,ENSMUSG00000049608
31,ENSMUSG00000087640
32,ENSMUSG00000031518
33,ENSMUSG00000086032
34,ENSMUSG00000021056
35,ENSMUSG00000067006
36,ENSMUSG00000108094
37,ENSMUSG00000087670
38,ENSMUSG00000097454
39,ENSMUSG00000116780
40,ENSMUSG00000108436
41,ENSMUSG00000097834
42,ENSMUSG00000053216
43,ENSMUSG00000075520
44,ENSMUSG00000090824
45,ENSMUSG00000051596
46,ENSMUSG00000067795
47,ENSMUSG00000026124
48,ENSMUSG00000057933
49,ENSMUSG00000086321
50,ENSMUSG00000031861
51,ENSMUSG00000115076
52,ENSMUSG00000101613
53,ENSMUSG00000055926
54,ENSMUSG00000026940
55,ENSMUSG00000090427
56,ENSMUSG00000086902
57,ENSMUSG00000107301
58,ENSMUSG00000113265
59,ENSMUSG00000085595
60,ENSMUSG00000067389
61,ENSMUSG00000049676
62,ENSMUSG00000045680
63,ENSMUSG00000108930
64,ENSMUSG00000087371
65,ENSMUSG00000087586
66,ENSMUSG00000073008
67,ENSMUSG00000097268
68,ENSMUSG00000097673
69,ENSMUSG00000027481
70,ENSMUSG00000061615
71,ENSMUSG00000097091
72,ENSMUSG00000115109
73,ENSMUSG00000090861
74,ENSMUSG00000032023
75,ENSMUSG00000030523
76,ENSMUSG00000109870
77,ENSMUSG00000109524
78,ENSMUSG00000104077
79,ENSMUSG00000049928
80,ENSMUSG00000008932
81,ENSMUSG00000110824
82,ENSMUSG00000109780
83,ENSMUSG00000062859
84,ENSMUSG00000110653
85,ENSMUSG00000036168
86,ENSMUSG00000044633
87,ENSMUSG00000050050
88,ENSMUSG00000054909
89,ENSMUSG00000026114
90,ENSMUSG00000112679
91,ENSMUSG00000049537
92,ENSMUSG00000030553
93,ENSMUSG00000057409
94,ENSMUSG00000060461
95,ENSMUSG00000026669
96,ENSMUSG00000024553
97,ENSMUSG00000025176
98,ENSMUSG00000036109
99,ENSMUSG00000113019
100,ENSMUSG00000035983
101,ENSMUSG00000045288
102,ENSMUSG00000114311
103,ENSMUSG00000026100
104,ENSMUSG00000020299
105,ENSMUSG00000072423
106,ENSMUSG00000111995
107,ENSMUSG00000057000
108,ENSMUSG00000025091
109,ENSMUSG00000097292
110,ENSMUSG00000078905
111,ENSMUSG00000105698
112,ENSMUSG00000030976
113,ENSMUSG00000010311
114,ENSMUSG00000096978
115,ENSMUSG00000079652
116,ENSMUSG00000011267
117,ENSMUSG00000068876
118,ENSMUSG00000111692
119,ENSMUSG00000094379
